E01,PB,P1,53,{M}=0.798;\Omega=0.202
E02a,PM,P1,220,{SIT6&SITGW&STD6&STDGW}=0.404;{STD7&STDGW}=0.396;\Omega=0.2
E02b,PM,P1,231,{SIT6&SITGW&STD6&STDGW}=0.409;{SIT2&SITGW&STD2&STDGW}=0.391;\Omega=0.2
E03a,PM,P1,245,{SIT10&SITGW&STD10&STDGW}=0.586;{SIT9&STD9}=0.214;\Omega=0.2
E03b,PM,P1,258,{SIT10&SITGW&STD10&STDGW}=0.404;{SIT6&SITGW&STD6&STDGW}=0.396;\Omega=0.2
E04,PSIT,P1,258,{SIT10}=0.9;{SIT1&SIT2&SIT3&SIT4&SIT5&SIT6&SIT7&SIT8&SIT9&SIT10&SIT11&SIT12&SIT13&SIT14&SIT15&SIT16&SIT17&SIT18&SIT19&SIT20&STDD&STDGW&STD1&STD2&STD3&STD4&STD5&STD6&STD7&STD8&STD9&STD10&STD11&STD12&STD13&STD14&STD15&STD16&STD17&STD18&STD19&STD20}=0.1
E05a,PM,P1,258,{SIT10&SITGW&STD10&STDGW}=0.545;{SIT9&STD9}=0.255;\Omega=0.2
E05b,PM,P1,273,{SIT10&SITGW&STD10&STDGW}=0.586;{SIT9&STD9}=0.214;\Omega=0.2
E06,PSTD,P1,273,{STD10}=0.9;{SITD&SITGW&SIT1&SIT2&SIT3&SIT4&SIT5&SIT6&SIT7&SIT8&SIT9&SIT10&SIT11&SIT12&SIT13&SIT14&SIT15&SIT16&SIT17&SIT18&SIT19&SIT20&STD1&STD2&STD3&STD4&STD5&STD6&STD7&STD8&STD9&STD10&STD11&STD12&STD13&STD14&STD15&STD16&STD17&STD18&STD19&STD20}=0.1
E07a,PM,P1,273,{SIT10&SITGW&STD10&STDGW}=0.518;{SIT9&STD9}=0.282;\Omega=0.2
E07b,PM,P1,275,{SIT10&SITGW&STD10&STDGW}=0.545;{SIT9&STD9}=0.255;\Omega=0.2
E08,PSIT,P1,275,{SIT6}=0.9;{SIT1&SIT2&SIT3&SIT4&SIT5&SIT6&SIT7&SIT8&SIT9&SIT10&SIT11&SIT12&SIT13&SIT14&SIT15&SIT16&SIT17&SIT18&SIT19&SIT20&STDD&STDGW&STD1&STD2&STD3&STD4&STD5&STD6&STD7&STD8&STD9&STD10&STD11&STD12&STD13&STD14&STD15&STD16&STD17&STD18&STD19&STD20}=0.1
E09a,PM,P1,275,{SIT9&STD9}=0.439;{SIT10&SITGW&STD10&STDGW}=0.361;\Omega=0.2
E09b,PM,P1,378,{SIT10&SITGW&STD10&STDGW}=0.518;{SIT9&STD9}=0.282;\Omega=0.2
E10,PSTD,P1,378,{STD6}=0.9;{SITD&SITGW&SIT1&SIT2&SIT3&SIT4&SIT5&SIT6&SIT7&SIT8&SIT9&SIT10&SIT11&SIT12&SIT13&SIT14&SIT15&SIT16&SIT17&SIT18&SIT19&SIT20&STD1&STD2&STD3&STD4&STD5&STD6&STD7&STD8&STD9&STD10&STD11&STD12&STD13&STD14&STD15&STD16&STD17&STD18&STD19&STD20}=0.1
E11a,PM,P1,378,{SIT9&STD9}=0.439;{SIT10&SITGW&STD10&STDGW}=0.361;\Omega=0.2
E11b,PM,P1,381,{SIT9&STD9}=0.439;{SIT10&SITGW&STD10&STDGW}=0.361;\Omega=0.2
E12,PSIT,P1,456,{SIT6}=0.9;{SIT1&SIT2&SIT3&SIT4&SIT5&SIT6&SIT7&SIT8&SIT9&SIT10&SIT11&SIT12&SIT13&SIT14&SIT15&SIT16&SIT17&SIT18&SIT19&SIT20&STDD&STDGW&STD1&STD2&STD3&STD4&STD5&STD6&STD7&STD8&STD9&STD10&STD11&STD12&STD13&STD14&STD15&STD16&STD17&STD18&STD19&STD20}=0.1
E13,PSTD,P1,460,{STD6}=0.9;{SITD&SITGW&SIT1&SIT2&SIT3&SIT4&SIT5&SIT6&SIT7&SIT8&SIT9&SIT10&SIT11&SIT12&SIT13&SIT14&SIT15&SIT16&SIT17&SIT18&SIT19&SIT20&STD1&STD2&STD3&STD4&STD5&STD6&STD7&STD8&STD9&STD10&STD11&STD12&STD13&STD14&STD15&STD16&STD17&STD18&STD19&STD20}=0.1
E14,PSIT,P1,528,{SIT6}=0.9;{SIT1&SIT2&SIT3&SIT4&SIT5&SIT6&SIT7&SIT8&SIT9&SIT10&SIT11&SIT12&SIT13&SIT14&SIT15&SIT16&SIT17&SIT18&SIT19&SIT20&STDD&STDGW&STD1&STD2&STD3&STD4&STD5&STD6&STD7&STD8&STD9&STD10&STD11&STD12&STD13&STD14&STD15&STD16&STD17&STD18&STD19&STD20}=0.1
E15a,PM,P1,534,{SIT6&SITGW&STD6&STDGW}=0.457;{SIT5&STD5}=0.343;\Omega=0.2
E15b,PM,P1,539,{SIT6&SITGW&STD6&STDGW}=0.485;{SIT5&STD5}=0.315;\Omega=0.2
E16,PSTD,P1,539,{STD6}=0.9;{SITD&SITGW&SIT1&SIT2&SIT3&SIT4&SIT5&SIT6&SIT7&SIT8&SIT9&SIT10&SIT11&SIT12&SIT13&SIT14&SIT15&SIT16&SIT17&SIT18&SIT19&SIT20&STD1&STD2&STD3&STD4&STD5&STD6&STD7&STD8&STD9&STD10&STD11&STD12&STD13&STD14&STD15&STD16&STD17&STD18&STD19&STD20}=0.1
E17a,PM,P1,539,{SIT6&SITGW&STD6&STDGW}=0.449;{SIT5&STD5}=0.351;\Omega=0.2
E17b,PM,P1,570,{SIT6&SITGW&STD6&STDGW}=0.457;{SIT5&STD5}=0.343;\Omega=0.2
E18a,PM,P1,600,{SIT6&SITGW&STD6&STDGW}=0.452;{SIT5&STD5}=0.348;\Omega=0.2
E18b,PM,P1,611,{SIT6&SITGW&STD6&STDGW}=0.459;{SIT5&STD5}=0.341;\Omega=0.2
E19,PSIT,P1,611,{SIT6}=0.9;{SIT1&SIT2&SIT3&SIT4&SIT5&SIT6&SIT7&SIT8&SIT9&SIT10&SIT11&SIT12&SIT13&SIT14&SIT15&SIT16&SIT17&SIT18&SIT19&SIT20&STDD&STDGW&STD1&STD2&STD3&STD4&STD5&STD6&STD7&STD8&STD9&STD10&STD11&STD12&STD13&STD14&STD15&STD16&STD17&STD18&STD19&STD20}=0.1
E20a,PM,P1,611,{SIT9&STD9}=0.414;{SIT10&SITGW&STD10&STDGW}=0.386;\Omega=0.2
E20b,PM,P1,800,{SIT6&SITGW&STD6&STDGW}=0.452;{SIT5&STD5}=0.348;\Omega=0.2
E22,PSTD,P1,800,{STD6}=0.9;{SITD&SITGW&SIT1&SIT2&SIT3&SIT4&SIT5&SIT6&SIT7&SIT8&SIT9&SIT10&SIT11&SIT12&SIT13&SIT14&SIT15&SIT16&SIT17&SIT18&SIT19&SIT20&STD1&STD2&STD3&STD4&STD5&STD6&STD7&STD8&STD9&STD10&STD11&STD12&STD13&STD14&STD15&STD16&STD17&STD18&STD19&STD20}=0.1
E23a,PM,P1,800,{SIT6&SITGW&STD6&STDGW}=0.437;{SIT5&STD5}=0.363;\Omega=0.2
E23b,PM,P1,821,{SIT9&STD9}=0.414;{SIT10&SITGW&STD10&STDGW}=0.386;\Omega=0.2
E24a,PM,P1,844,{SIT9&STD9}=0.427;{SIT10&SITGW&STD10&STDGW}=0.373;\Omega=0.2
E24b,PM,P1,854,{SIT6&SITGW&STD6&STDGW}=0.427;{SIT9&STD9}=0.373;\Omega=0.2
E25a,PM,P1,882,{SIT6&SITGW&STD6&STDGW}=0.442;{SIT5&STD5}=0.358;\Omega=0.2
E25b,PM,P1,897,{SIT6&SITGW&STD6&STDGW}=0.413;{SIT9&STD9}=0.387;\Omega=0.2
E26a,PM,P1,903,{SIT6&SITGW&STD6&STDGW}=0.448;{SIT5&STD5}=0.352;\Omega=0.2
E26b,PM,P1,920,{SIT9&STD9}=0.422;{SIT10&SITGW&STD10&STDGW}=0.378;\Omega=0.2
E27,PSIT,P1,920,{SIT6}=0.9;{SIT1&SIT2&SIT3&SIT4&SIT5&SIT6&SIT7&SIT8&SIT9&SIT10&SIT11&SIT12&SIT13&SIT14&SIT15&SIT16&SIT17&SIT18&SIT19&SIT20&STDD&STDGW&STD1&STD2&STD3&STD4&STD5&STD6&STD7&STD8&STD9&STD10&STD11&STD12&STD13&STD14&STD15&STD16&STD17&STD18&STD19&STD20}=0.1
E28a,PM,P1,920,{SIT6&SITGW&STD6&STDGW}=0.404;{SIT9&STD9}=0.396;\Omega=0.2
E28b,PM,P1,947,{SIT6&SITGW&STD6&STDGW}=0.448;{SIT5&STD5}=0.352;\Omega=0.2
E29a,PM,P1,975,{SIT6&SITGW&STD6&STDGW}=0.436;{SIT9&STD9}=0.364;\Omega=0.2
E29b,PM,P1,1122,{SIT6&SITGW&STD6&STDGW}=0.431;{SIT9&STD9}=0.369;\Omega=0.2
E30a,PM,P1,1152,{SIT6&SITGW&STD6&STDGW}=0.422;{SIT9&STD9}=0.378;\Omega=0.2
E30b,PM,P1,1165,{SIT9&STD9}=0.414;{SIT10&SITGW&STD10&STDGW}=0.386;\Omega=0.2
E31,PB,P2,1170,{M}=0.9;\Omega=0.1
E32a,PM,P1,1189,{SIT10&SITGW&STD10&STDGW}=0.57;{SIT9&STD9}=0.23;\Omega=0.2
E32b,PM,P1,1205,{SIT10&SITGW&STD10&STDGW}=0.451;{SIT6&SITGW&STD6&STDGW}=0.349;\Omega=0.2
E33,PSTD,P1,1205,{STD6}=0.9;{SITD&SITGW&SIT1&SIT2&SIT3&SIT4&SIT5&SIT6&SIT7&SIT8&SIT9&SIT10&SIT11&SIT12&SIT13&SIT14&SIT15&SIT16&SIT17&SIT18&SIT19&SIT20&STD1&STD2&STD3&STD4&STD5&STD6&STD7&STD8&STD9&STD10&STD11&STD12&STD13&STD14&STD15&STD16&STD17&STD18&STD19&STD20}=0.1
E34a,PM,P1,1205,{SIT10&SITGW&STD10&STDGW}=0.6;{SIT9&STD9}=0.2;\Omega=0.2
E34b,PM,P1,1207,{SIT10&SITGW&STD10&STDGW}=0.57;{SIT9&STD9}=0.23;\Omega=0.2
E36a,PM,P1,1207,{SIT2&SITGW&STD2&STDGW}=0.429;{SIT6&SITGW&STD6&STDGW}=0.371;\Omega=0.2
E38a,PM,P1,1259,{SIT2&SITGW&STD2&STDGW}=0.406;{SITD&STDD}=0.394;\Omega=0.2
E36b,PM,P1,1263,{SIT10&SITGW&STD10&STDGW}=0.6;{SIT9&STD9}=0.2;\Omega=0.2
E38b,PM,P1,1275,{SIT3&SITGW&STD3&STDGW}=0.404;{SIT2&SITGW&STD2&STDGW}=0.396;\Omega=0.2
E40a,PM,P1,1275,{SITD&STDD}=0.567;{SIT3&SITGW&STD3&STDGW}=0.233;\Omega=0.2
E42a,PM,P2,1302,{SIT10&SITGW&STD10&STDGW}=0.49;{SIT6&SITGW&STD6&STDGW}=0.31;\Omega=0.2
E40b,PM,P1,1320,{SIT2&SITGW&STD2&STDGW}=0.406;{SITD&STDD}=0.394;\Omega=0.2
E42b,PM,P2,1353,{SIT3&SITGW&STD3&STDGW}=0.4;{SITD&STDD}=0.4;\Omega=0.2
E44a,PM,P2,1384,{SIT18&STD18}=0.684;{SIT17&STD17}=0.116;\Omega=0.2
E44b,PM,P2,1393,{SIT10&SITGW&STD10&STDGW}=0.585;{SIT9&STD9}=0.215;\Omega=0.2
E45,PE,P1,1395,{T}=0.8;\Omega=0.2
E46a,PM,P2,1423,{SIT9&STD9}=0.503;{SIT10&SITGW&STD10&STDGW}=0.297;\Omega=0.2
E46b,PM,P2,1429,{SIT9&STD9}=0.482;{SIT13&STD13}=0.318;\Omega=0.2
E47,PSIT,P2,1429,{SIT9}=0.9;{SIT1&SIT2&SIT3&SIT4&SIT5&SIT6&SIT7&SIT8&SIT9&SIT10&SIT11&SIT12&SIT13&SIT14&SIT15&SIT16&SIT17&SIT18&SIT19&SIT20&STDD&STDGW&STD1&STD2&STD3&STD4&STD5&STD6&STD7&STD8&STD9&STD10&STD11&STD12&STD13&STD14&STD15&STD16&STD17&STD18&STD19&STD20}=0.1
E48a,PM,P2,1429,{SIT9&STD9}=0.678;{SIT10&SITGW&STD10&STDGW}=0.122;\Omega=0.2
E48b,PM,P2,1447,{SIT9&STD9}=0.503;{SIT10&SITGW&STD10&STDGW}=0.297;\Omega=0.2
E49a,PM,P2,1465,{SIT9&STD9}=0.53;{SIT10&SITGW&STD10&STDGW}=0.27;\Omega=0.2
E49b,PM,P2,1705,{SIT9&STD9}=0.645;{SIT10&SITGW&STD10&STDGW}=0.155;\Omega=0.2
E55,PSTD,P2,1705,{STD9}=0.9;{SITD&SITGW&SIT1&SIT2&SIT3&SIT4&SIT5&SIT6&SIT7&SIT8&SIT9&SIT10&SIT11&SIT12&SIT13&SIT14&SIT15&SIT16&SIT17&SIT18&SIT19&SIT20&STD1&STD2&STD3&STD4&STD5&STD6&STD7&STD8&STD9&STD10&STD11&STD12&STD13&STD14&STD15&STD16&STD17&STD18&STD19&STD20}=0.1
E56a,PM,P2,1705,{SIT9&STD9}=0.512;{SIT10&SITGW&STD10&STDGW}=0.288;\Omega=0.2
E56b,PM,P2,1711,{SIT9&STD9}=0.53;{SIT10&SITGW&STD10&STDGW}=0.27;\Omega=0.2
E57,PSIT,P2,1782,{SIT9}=0.9;{SIT1&SIT2&SIT3&SIT4&SIT5&SIT6&SIT7&SIT8&SIT9&SIT10&SIT11&SIT12&SIT13&SIT14&SIT15&SIT16&SIT17&SIT18&SIT19&SIT20&STDD&STDGW&STD1&STD2&STD3&STD4&STD5&STD6&STD7&STD8&STD9&STD10&STD11&STD12&STD13&STD14&STD15&STD16&STD17&STD18&STD19&STD20}=0.1
E58a,PM,P2,1785,{SIT9&STD9}=0.554;{SIT10&SITGW&STD10&STDGW}=0.246;\Omega=0.2
E58b,PM,P2,1794,{SIT9&STD9}=0.557;{SIT10&SITGW&STD10&STDGW}=0.243;\Omega=0.2
E59,PSTD,P2,1855,{STD9}=0.9;{SITD&SITGW&SIT1&SIT2&SIT3&SIT4&SIT5&SIT6&SIT7&SIT8&SIT9&SIT10&SIT11&SIT12&SIT13&SIT14&SIT15&SIT16&SIT17&SIT18&SIT19&SIT20&STD1&STD2&STD3&STD4&STD5&STD6&STD7&STD8&STD9&STD10&STD11&STD12&STD13&STD14&STD15&STD16&STD17&STD18&STD19&STD20}=0.1
E61a,PM,P2,1915,{SIT9&STD9}=0.664;{SIT10&SITGW&STD10&STDGW}=0.136;\Omega=0.2
E61b,PM,P2,1919,{SIT9&STD9}=0.674;{SIT10&SITGW&STD10&STDGW}=0.126;\Omega=0.2
E62,PSIT,P2,1919,{SIT9}=0.9;{SIT1&SIT2&SIT3&SIT4&SIT5&SIT6&SIT7&SIT8&SIT9&SIT10&SIT11&SIT12&SIT13&SIT14&SIT15&SIT16&SIT17&SIT18&SIT19&SIT20&STDD&STDGW&STD1&STD2&STD3&STD4&STD5&STD6&STD7&STD8&STD9&STD10&STD11&STD12&STD13&STD14&STD15&STD16&STD17&STD18&STD19&STD20}=0.1
E63a,PM,P2,1919,{SIT9&STD9}=0.582;{SIT10&SITGW&STD10&STDGW}=0.218;\Omega=0.2
E63b,PM,P2,2061,{SIT9&STD9}=0.664;{SIT10&SITGW&STD10&STDGW}=0.136;\Omega=0.2
E70,PSTD,P2,2061,{STD9}=0.9;{SITD&SITGW&SIT1&SIT2&SIT3&SIT4&SIT5&SIT6&SIT7&SIT8&SIT9&SIT10&SIT11&SIT12&SIT13&SIT14&SIT15&SIT16&SIT17&SIT18&SIT19&SIT20&STD1&STD2&STD3&STD4&STD5&STD6&STD7&STD8&STD9&STD10&STD11&STD12&STD13&STD14&STD15&STD16&STD17&STD18&STD19&STD20}=0.1
E71a,PM,P2,2061,{SIT9&STD9}=0.591;{SIT10&SITGW&STD10&STDGW}=0.209;\Omega=0.2
E71b,PM,P2,2077,{SIT9&STD9}=0.582;{SIT10&SITGW&STD10&STDGW}=0.218;\Omega=0.2
E73a,PM,P2,2122,{SIT9&STD9}=0.458;{SIT13&STD13}=0.342;\Omega=0.2
E73b,PM,P2,2125,{SIT9&STD9}=0.465;{SIT13&STD13}=0.335;\Omega=0.2
E74,PSIT,P2,2125,{SIT9}=0.9;{SIT1&SIT2&SIT3&SIT4&SIT5&SIT6&SIT7&SIT8&SIT9&SIT10&SIT11&SIT12&SIT13&SIT14&SIT15&SIT16&SIT17&SIT18&SIT19&SIT20&STDD&STDGW&STD1&STD2&STD3&STD4&STD5&STD6&STD7&STD8&STD9&STD10&STD11&STD12&STD13&STD14&STD15&STD16&STD17&STD18&STD19&STD20}=0.1
E75a,PM,P2,2125,{SIT9&STD9}=0.447;{SIT13&STD13}=0.353;\Omega=0.2
E75b,PM,P2,2129,{SIT9&STD9}=0.458;{SIT13&STD13}=0.342;\Omega=0.2
E76,PSTD,P2,2129,{STD9}=0.9;{SITD&SITGW&SIT1&SIT2&SIT3&SIT4&SIT5&SIT6&SIT7&SIT8&SIT9&SIT10&SIT11&SIT12&SIT13&SIT14&SIT15&SIT16&SIT17&SIT18&SIT19&SIT20&STD1&STD2&STD3&STD4&STD5&STD6&STD7&STD8&STD9&STD10&STD11&STD12&STD13&STD14&STD15&STD16&STD17&STD18&STD19&STD20}=0.1
E77a,PM,P2,2129,{SITD&STDD}=0.555;{SIT3&SITGW&STD3&STDGW}=0.245;\Omega=0.2
E77b,PM,P2,2304,{SIT9&STD9}=0.447;{SIT13&STD13}=0.353;\Omega=0.2
E78,PE,P2,2440,{T}=0.8;\Omega=0.2
