	{T/0}	{T/54}	{T/221}	{T/232}	{T/246}	{T/259}	{T/274}	{T/276}	{T/379}	{T/382}	{T/457}	{T/461}	{T/529}	{T/535}	{T/540}	{T/571}	{T/601}	{T/612}	{T/801}	{T/822}	{T/845}	{T/855}	{T/883}	{T/898}	{T/904}	{T/921}	{T/948}	{T/976}	{T/1123}	{T/1153}	{T/1166}	{T/1171}	{T/1190}	{T/1206}	{T/1208}	{T/1260}	{T/1264}	{T/1276}	{T/1303}	{T/1321}	{T/1354}	{T/1385}	{T/1394}	{T/1396}	{T/1424}	{T/1430}	{T/1448}	{T/1466}	{T/1706}	{T/1712}	{T/1783}	{T/1786}	{T/1795}	{T/1856}	{T/1916}	{T/1920}	{T/2062}	{T/2078}	{T/2123}	{T/2126}	{T/2130}	{T/2305}	{T/2441}
holdsAt(gender(p1,female),T)	0	0.101	0.101	0.101	0.101	0.101	0.101	0.101	0.101	0.101	0.101	0.101	0.101	0.101	0.101	0.101	0.101	0.101	0.101	0.101	0.101	0.101	0.101	0.101	0.101	0.101	0.101	0.101	0.101	0.101	0.101	0.101	0.101	0.101	0.101	0.101	0.101	0.101	0.101	0.101	0.101	0.101	0.101	0.101	0.101	0.101	0.101	0.101	0.101	0.101	0.101	0.101	0.101	0.101	0.101	0.101	0.101	0.101	0.101	0.101	0.101	0.101	0.101
holdsAt(gender(p1,male),T)	0	0.899	0.899	0.899	0.899	0.899	0.899	0.899	0.899	0.899	0.899	0.899	0.899	0.899	0.899	0.899	0.899	0.899	0.899	0.899	0.899	0.899	0.899	0.899	0.899	0.899	0.899	0.899	0.899	0.899	0.899	0.899	0.899	0.899	0.899	0.899	0.899	0.899	0.899	0.899	0.899	0.899	0.899	0.899	0.899	0.899	0.899	0.899	0.899	0.899	0.899	0.899	0.899	0.899	0.899	0.899	0.899	0.899	0.899	0.899	0.899	0.899	0.899
holdsAt(gender(p2,female),T)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05
holdsAt(gender(p2,male),T)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.95	0.95	0.95	0.95	0.95	0.95	0.95	0.95	0.95	0.95	0.95	0.95	0.95	0.95	0.95	0.95	0.95	0.95	0.95	0.95	0.95	0.95	0.95	0.95	0.95	0.95	0.95	0.95	0.95	0.95	0.95	0.95
holdsAt(location(p1,door),T)	0	1	0.0090909091	0.0090909091	0.0090909091	6.253437e-05	3.7973143e-07	0.0009258192	0.00092392768	0.0090909091	0.0023809524	0.0023809524	0.0023809524	0.0090909091	6.831264e-05	0.0090909091	0.0090909091	0.00055262581	4.4040073e-06	0.0090909091	0.0090909091	0.0090909091	0.0090909091	0.0090909091	0.0090909091	0.00053897454	0.0090909091	0.0090909091	0.0090909091	0.0090909091	0.0090909091	0.0090909091	0.0090909091	0.00052093915	0.002228164	0.40309091	0.0090909091	0.21086783	0.21086783	0.40309091	0.40309091	0.40309091	0.40309091	0.040309091	0.040309091	0.040309091	0.040309091	0.040309091	0.040309091	0.040309091	0.040309091	0.040309091	0.040309091	0.040309091	0.040309091	0.040309091	0.040309091	0.040309091	0.040309091	0.040309091	0.040309091	0.040309091	0.040309091
holdsAt(location(p1,gangway),T)	0	0	0.40909091	0.40909091	0.30209091	0.080461527	0.030771928	0.12339388	0.11824362	0.18959091	0.0023809524	0.0023809524	0.0023809524	0.23759091	0.030745761	0.23759091	0.23509091	0.13604691	0.029593261	0.20209091	0.19559091	0.22259091	0.23009091	0.21559091	0.23309091	0.11646572	0.23309091	0.22709091	0.22459091	0.22009091	0.20209091	0.20209091	0.29409091	0.21545001	0.72894385	0.21209091	0.30909091	0.44738686	0.44738686	0.21209091	0.21209091	0.21209091	0.21209091	0.021209091	0.021209091	0.021209091	0.021209091	0.021209091	0.021209091	0.021209091	0.021209091	0.021209091	0.021209091	0.021209091	0.021209091	0.021209091	0.021209091	0.021209091	0.021209091	0.021209091	0.021209091	0.021209091	0.021209091
holdsAt(location(p1,seat(1)),T)	0	0	0.0090909091	0.0090909091	0.0090909091	6.253437e-05	3.7973143e-07	0.0018516384	0.0018478554	0.0090909091	0.0047619048	0.0047619048	0.0047619048	0.0090909091	6.831264e-05	0.0090909091	0.0090909091	0.0011052516	8.8080146e-06	0.0090909091	0.0090909091	0.0090909091	0.0090909091	0.0090909091	0.0090909091	0.0010779491	0.0090909091	0.0090909091	0.0090909091	0.0090909091	0.0090909091	0.0090909091	0.0090909091	0.0010418783	0.002228164	0.0090909091	0.0090909091	0.0033275656	0.0033275656	0.0090909091	0.0090909091	0.0090909091	0.0090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091
holdsAt(location(p1,seat(10)),T)	0	0	0.0090909091	0.0090909091	0.30209091	0.89460906	0.94125453	0.24678775	0.23648723	0.18959091	0.0047619048	0.0047619048	0.0047619048	0.0090909091	6.831264e-05	0.0090909091	0.0090909091	0.03096915	0.00024680057	0.20209091	0.19559091	0.0090909091	0.0090909091	0.0090909091	0.0090909091	0.029600482	0.0090909091	0.0090909091	0.0090909091	0.0090909091	0.20209091	0.20209091	0.29409091	0.17636916	0.072081105	0.0090909091	0.30909091	0.0033275656	0.0033275656	0.0090909091	0.0090909091	0.0090909091	0.0090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091
holdsAt(location(p1,seat(11)),T)	0	0	0.0090909091	0.0090909091	0.0090909091	6.253437e-05	3.7973143e-07	0.0018516384	0.0018478554	0.0090909091	0.0047619048	0.0047619048	0.0047619048	0.0090909091	6.831264e-05	0.0090909091	0.0090909091	0.0011052516	8.8080146e-06	0.0090909091	0.0090909091	0.0090909091	0.0090909091	0.0090909091	0.0090909091	0.0010779491	0.0090909091	0.0090909091	0.0090909091	0.0090909091	0.0090909091	0.0090909091	0.0090909091	0.0010418783	0.002228164	0.0090909091	0.0090909091	0.0033275656	0.0033275656	0.0090909091	0.0090909091	0.0090909091	0.0090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091
holdsAt(location(p1,seat(12)),T)	0	0	0.0090909091	0.0090909091	0.0090909091	6.253437e-05	3.7973143e-07	0.0018516384	0.0018478554	0.0090909091	0.0047619048	0.0047619048	0.0047619048	0.0090909091	6.831264e-05	0.0090909091	0.0090909091	0.0011052516	8.8080146e-06	0.0090909091	0.0090909091	0.0090909091	0.0090909091	0.0090909091	0.0090909091	0.0010779491	0.0090909091	0.0090909091	0.0090909091	0.0090909091	0.0090909091	0.0090909091	0.0090909091	0.0010418783	0.002228164	0.0090909091	0.0090909091	0.0033275656	0.0033275656	0.0090909091	0.0090909091	0.0090909091	0.0090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091
holdsAt(location(p1,seat(13)),T)	0	0	0.0090909091	0.0090909091	0.0090909091	6.253437e-05	3.7973143e-07	0.0018516384	0.0018478554	0.0090909091	0.0047619048	0.0047619048	0.0047619048	0.0090909091	6.831264e-05	0.0090909091	0.0090909091	0.0011052516	8.8080146e-06	0.0090909091	0.0090909091	0.0090909091	0.0090909091	0.0090909091	0.0090909091	0.0010779491	0.0090909091	0.0090909091	0.0090909091	0.0090909091	0.0090909091	0.0090909091	0.0090909091	0.0010418783	0.002228164	0.0090909091	0.0090909091	0.0033275656	0.0033275656	0.0090909091	0.0090909091	0.0090909091	0.0090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091
holdsAt(location(p1,seat(14)),T)	0	0	0.0090909091	0.0090909091	0.0090909091	6.253437e-05	3.7973143e-07	0.0018516384	0.0018478554	0.0090909091	0.0047619048	0.0047619048	0.0047619048	0.0090909091	6.831264e-05	0.0090909091	0.0090909091	0.0011052516	8.8080146e-06	0.0090909091	0.0090909091	0.0090909091	0.0090909091	0.0090909091	0.0090909091	0.0010779491	0.0090909091	0.0090909091	0.0090909091	0.0090909091	0.0090909091	0.0090909091	0.0090909091	0.0010418783	0.002228164	0.0090909091	0.0090909091	0.0033275656	0.0033275656	0.0090909091	0.0090909091	0.0090909091	0.0090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091
holdsAt(location(p1,seat(15)),T)	0	0	0.0090909091	0.0090909091	0.0090909091	6.253437e-05	3.7973143e-07	0.0018516384	0.0018478554	0.0090909091	0.0047619048	0.0047619048	0.0047619048	0.0090909091	6.831264e-05	0.0090909091	0.0090909091	0.0011052516	8.8080146e-06	0.0090909091	0.0090909091	0.0090909091	0.0090909091	0.0090909091	0.0090909091	0.0010779491	0.0090909091	0.0090909091	0.0090909091	0.0090909091	0.0090909091	0.0090909091	0.0090909091	0.0010418783	0.002228164	0.0090909091	0.0090909091	0.0033275656	0.0033275656	0.0090909091	0.0090909091	0.0090909091	0.0090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091
holdsAt(location(p1,seat(16)),T)	0	0	0.0090909091	0.0090909091	0.0090909091	6.253437e-05	3.7973143e-07	0.0018516384	0.0018478554	0.0090909091	0.0047619048	0.0047619048	0.0047619048	0.0090909091	6.831264e-05	0.0090909091	0.0090909091	0.0011052516	8.8080146e-06	0.0090909091	0.0090909091	0.0090909091	0.0090909091	0.0090909091	0.0090909091	0.0010779491	0.0090909091	0.0090909091	0.0090909091	0.0090909091	0.0090909091	0.0090909091	0.0090909091	0.0010418783	0.002228164	0.0090909091	0.0090909091	0.0033275656	0.0033275656	0.0090909091	0.0090909091	0.0090909091	0.0090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091
holdsAt(location(p1,seat(17)),T)	0	0	0.0090909091	0.0090909091	0.0090909091	6.253437e-05	3.7973143e-07	0.0018516384	0.0018478554	0.0090909091	0.0047619048	0.0047619048	0.0047619048	0.0090909091	6.831264e-05	0.0090909091	0.0090909091	0.0011052516	8.8080146e-06	0.0090909091	0.0090909091	0.0090909091	0.0090909091	0.0090909091	0.0090909091	0.0010779491	0.0090909091	0.0090909091	0.0090909091	0.0090909091	0.0090909091	0.0090909091	0.0090909091	0.0010418783	0.002228164	0.0090909091	0.0090909091	0.0033275656	0.0033275656	0.0090909091	0.0090909091	0.0090909091	0.0090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091
holdsAt(location(p1,seat(18)),T)	0	0	0.0090909091	0.0090909091	0.0090909091	6.253437e-05	3.7973143e-07	0.0018516384	0.0018478554	0.0090909091	0.0047619048	0.0047619048	0.0047619048	0.0090909091	6.831264e-05	0.0090909091	0.0090909091	0.0011052516	8.8080146e-06	0.0090909091	0.0090909091	0.0090909091	0.0090909091	0.0090909091	0.0090909091	0.0010779491	0.0090909091	0.0090909091	0.0090909091	0.0090909091	0.0090909091	0.0090909091	0.0090909091	0.0010418783	0.002228164	0.0090909091	0.0090909091	0.0033275656	0.0033275656	0.0090909091	0.0090909091	0.0090909091	0.0090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091
holdsAt(location(p1,seat(19)),T)	0	0	0.0090909091	0.0090909091	0.0090909091	6.253437e-05	3.7973143e-07	0.0018516384	0.0018478554	0.0090909091	0.0047619048	0.0047619048	0.0047619048	0.0090909091	6.831264e-05	0.0090909091	0.0090909091	0.0011052516	8.8080146e-06	0.0090909091	0.0090909091	0.0090909091	0.0090909091	0.0090909091	0.0090909091	0.0010779491	0.0090909091	0.0090909091	0.0090909091	0.0090909091	0.0090909091	0.0090909091	0.0090909091	0.0010418783	0.002228164	0.0090909091	0.0090909091	0.0033275656	0.0033275656	0.0090909091	0.0090909091	0.0090909091	0.0090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091
holdsAt(location(p1,seat(2)),T)	0	0	0.0090909091	0.20459091	0.0090909091	6.253437e-05	3.7973143e-07	0.0018516384	0.0018478554	0.0090909091	0.0047619048	0.0047619048	0.0047619048	0.0090909091	6.831264e-05	0.0090909091	0.0090909091	0.0011052516	8.8080146e-06	0.0090909091	0.0090909091	0.0090909091	0.0090909091	0.0090909091	0.0090909091	0.0010779491	0.0090909091	0.0090909091	0.0090909091	0.0090909091	0.0090909091	0.0090909091	0.0090909091	0.0010418783	0.054801693	0.21209091	0.0090909091	0.075801943	0.075801943	0.21209091	0.21209091	0.21209091	0.21209091	0.021209091	0.021209091	0.021209091	0.021209091	0.021209091	0.021209091	0.021209091	0.021209091	0.021209091	0.021209091	0.021209091	0.021209091	0.021209091	0.021209091	0.021209091	0.021209091	0.021209091	0.021209091	0.021209091	0.021209091
holdsAt(location(p1,seat(20)),T)	0	0	0.0090909091	0.0090909091	0.0090909091	6.253437e-05	3.7973143e-07	0.0018516384	0.0018478554	0.0090909091	0.0047619048	0.0047619048	0.0047619048	0.0090909091	6.831264e-05	0.0090909091	0.0090909091	0.0011052516	8.8080146e-06	0.0090909091	0.0090909091	0.0090909091	0.0090909091	0.0090909091	0.0090909091	0.0010779491	0.0090909091	0.0090909091	0.0090909091	0.0090909091	0.0090909091	0.0090909091	0.0090909091	0.0010418783	0.002228164	0.0090909091	0.0090909091	0.0033275656	0.0033275656	0.0090909091	0.0090909091	0.0090909091	0.0090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091
holdsAt(location(p1,seat(3)),T)	0	0	0.0090909091	0.0090909091	0.0090909091	6.253437e-05	3.7973143e-07	0.0018516384	0.0018478554	0.0090909091	0.0047619048	0.0047619048	0.0047619048	0.0090909091	6.831264e-05	0.0090909091	0.0090909091	0.0011052516	8.8080146e-06	0.0090909091	0.0090909091	0.0090909091	0.0090909091	0.0090909091	0.0090909091	0.0010779491	0.0090909091	0.0090909091	0.0090909091	0.0090909091	0.0090909091	0.0090909091	0.0090909091	0.0010418783	0.002228164	0.0090909091	0.0090909091	0.20604718	0.20604718	0.0090909091	0.0090909091	0.0090909091	0.0090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091
