	{T/0}	{T/54}	{T/221}	{T/232}	{T/246}	{T/259}	{T/274}	{T/276}	{T/379}	{T/382}	{T/457}	{T/461}	{T/529}	{T/535}	{T/540}	{T/571}	{T/601}	{T/612}	{T/801}	{T/822}	{T/845}	{T/855}	{T/883}	{T/898}	{T/904}	{T/921}	{T/948}	{T/976}	{T/1123}	{T/1153}	{T/1166}	{T/1171}	{T/1190}	{T/1206}	{T/1208}	{T/1260}	{T/1264}	{T/1276}	{T/1303}	{T/1321}	{T/1354}	{T/1385}	{T/1394}	{T/1396}	{T/1424}	{T/1430}	{T/1448}	{T/1466}	{T/1706}	{T/1712}	{T/1783}	{T/1786}	{T/1795}	{T/1856}	{T/1916}	{T/1920}	{T/2062}	{T/2078}	{T/2123}	{T/2126}	{T/2130}	{T/2305}	{T/2441}
holdsAt(location(p1,seat(4)),T)	0	0	0.0090909091	0.0090909091	0.0090909091	6.253437e-05	3.7973143e-07	0.0018516384	0.0018478554	0.0090909091	0.0047619048	0.0047619048	0.0047619048	0.0090909091	6.831264e-05	0.0090909091	0.0090909091	0.0011052516	8.8080146e-06	0.0090909091	0.0090909091	0.0090909091	0.0090909091	0.0090909091	0.0090909091	0.0010779491	0.0090909091	0.0090909091	0.0090909091	0.0090909091	0.0090909091	0.0090909091	0.0090909091	0.0010418783	0.002228164	0.0090909091	0.0090909091	0.0033275656	0.0033275656	0.0090909091	0.0090909091	0.0090909091	0.0090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091
holdsAt(location(p1,seat(5)),T)	0	0	0.0090909091	0.0090909091	0.0090909091	6.253437e-05	3.7973143e-07	0.0018516384	0.0018478554	0.0090909091	0.0047619048	0.0047619048	0.0047619048	0.35209091	0.055033895	0.35209091	0.35709091	0.040678786	0.061482749	0.0090909091	0.0090909091	0.0090909091	0.36709091	0.0090909091	0.36109091	0.0010779491	0.36109091	0.0090909091	0.0090909091	0.0090909091	0.0090909091	0.0090909091	0.0090909091	0.0010418783	0.002228164	0.0090909091	0.0090909091	0.0033275656	0.0033275656	0.0090909091	0.0090909091	0.0090909091	0.0090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091
holdsAt(location(p1,seat(6)),T)	0	0	0.21109091	0.21359091	0.0090909091	0.011351596	6.8931018e-05	0.3518113	0.35109252	0.0090909091	0.9047619	0.9047619	0.9047619	0.23759091	0.9129224	0.23759091	0.23509091	0.72491796	0.90814017	0.0090909091	0.0090909091	0.22259091	0.23009091	0.21559091	0.23309091	0.64683413	0.23309091	0.22709091	0.22459091	0.22009091	0.0090909091	0.0090909091	0.0090909091	0.56702664	0.04769385	0.0090909091	0.0090909091	0.0033275656	0.0033275656	0.0090909091	0.0090909091	0.0090909091	0.0090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091
holdsAt(location(p1,seat(7)),T)	0	0	0.20709091	0.0090909091	0.0090909091	6.253437e-05	3.7973143e-07	0.0018516384	0.0018478554	0.0090909091	0.0047619048	0.0047619048	0.0047619048	0.0090909091	6.831264e-05	0.0090909091	0.0090909091	0.0011052516	8.8080146e-06	0.0090909091	0.0090909091	0.0090909091	0.0090909091	0.0090909091	0.0090909091	0.0010779491	0.0090909091	0.0090909091	0.0090909091	0.0090909091	0.0090909091	0.0090909091	0.0090909091	0.0010418783	0.002228164	0.0090909091	0.0090909091	0.0033275656	0.0033275656	0.0090909091	0.0090909091	0.0090909091	0.0090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091
holdsAt(location(p1,seat(8)),T)	0	0	0.0090909091	0.0090909091	0.0090909091	6.253437e-05	3.7973143e-07	0.0018516384	0.0018478554	0.0090909091	0.0047619048	0.0047619048	0.0047619048	0.0090909091	6.831264e-05	0.0090909091	0.0090909091	0.0011052516	8.8080146e-06	0.0090909091	0.0090909091	0.0090909091	0.0090909091	0.0090909091	0.0090909091	0.0010779491	0.0090909091	0.0090909091	0.0090909091	0.0090909091	0.0090909091	0.0090909091	0.0090909091	0.0010418783	0.002228164	0.0090909091	0.0090909091	0.0033275656	0.0033275656	0.0090909091	0.0090909091	0.0090909091	0.0090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091
holdsAt(location(p1,seat(9)),T)	0	0	0.0090909091	0.0090909091	0.22309091	0.012452201	0.027897772	0.2456034	0.26183916	0.44809091	0.0047619048	0.0047619048	0.0047619048	0.0090909091	6.831264e-05	0.0090909091	0.0090909091	0.04915054	0.00039169241	0.42309091	0.43609091	0.38209091	0.0090909091	0.39609091	0.0090909091	0.18823557	0.0090909091	0.37309091	0.37809091	0.38709091	0.42309091	0.42309091	0.23909091	0.022921323	0.058600713	0.0090909091	0.20909091	0.0033275656	0.0033275656	0.0090909091	0.0090909091	0.0090909091	0.0090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091	0.00090909091
holdsAt(location(p2,door),T)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	0.0090909091	0.0090909091	0.40909091	0.0090909091	0.0090909091	0.0090909091	0.0090909091	4.987365e-05	0.0090909091	0.0090909091	5.2091882e-05	0.0090909091	0.0023809524	0.0090909091	0.0090909091	0.0023809524	0.0090909091	4.6219698e-05	2.3496438e-07	0.0090909091	0.0090909091	7.2175318e-05	0.072489239	0.0090909091	0.00090909091
holdsAt(location(p2,gangway),T)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.40909091	0.40909091	0.20909091	0.0090909091	0.30159091	0.30159091	0.15759091	0.0023599143	0.15759091	0.14409091	0.0082026271	0.14409091	0.0023809524	0.13209091	0.13059091	0.0023809524	0.077090909	0.005159215	0.0048485975	0.11809091	0.0090909091	7.2175318e-05	0.011192511	0.0090909091	0.00090909091
holdsAt(location(p2,seat(1)),T)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0090909091	0.0090909091	0.0090909091	0.0090909091	0.0090909091	0.0090909091	0.0090909091	4.987365e-05	0.0090909091	0.0090909091	5.2091882e-05	0.0090909091	0.0047619048	0.0090909091	0.0090909091	0.0047619048	0.0090909091	4.6219698e-05	2.3496438e-07	0.0090909091	0.0090909091	7.2175318e-05	0.0012333346	0.0090909091	0.00090909091
holdsAt(location(p2,seat(10)),T)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25409091	0.25409091	0.0090909091	0.0090909091	0.30159091	0.30159091	0.15759091	0.0038552688	0.15759091	0.14409091	0.015579598	0.14409091	0.0047619048	0.13209091	0.13059091	0.0047619048	0.077090909	0.009926487	0.0096952024	0.11809091	0.0090909091	7.2175318e-05	0.0012333346	0.0090909091	0.00090909091
holdsAt(location(p2,seat(11)),T)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0090909091	0.0090909091	0.0090909091	0.0090909091	0.0090909091	0.0090909091	0.0090909091	4.987365e-05	0.0090909091	0.0090909091	5.2091882e-05	0.0090909091	0.0047619048	0.0090909091	0.0090909091	0.0047619048	0.0090909091	4.6219698e-05	2.3496438e-07	0.0090909091	0.0090909091	7.2175318e-05	0.0012333346	0.0090909091	0.00090909091
holdsAt(location(p2,seat(12)),T)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0090909091	0.0090909091	0.0090909091	0.0090909091	0.0090909091	0.0090909091	0.0090909091	4.987365e-05	0.0090909091	0.0090909091	5.2091882e-05	0.0090909091	0.0047619048	0.0090909091	0.0090909091	0.0047619048	0.0090909091	4.6219698e-05	2.3496438e-07	0.0090909091	0.0090909091	7.2175318e-05	0.0012333346	0.0090909091	0.00090909091
holdsAt(location(p2,seat(13)),T)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0090909091	0.0090909091	0.0090909091	0.0090909091	0.0090909091	0.0090909091	0.0090909091	0.010830847	0.0090909091	0.0090909091	5.2091882e-05	0.0090909091	0.0047619048	0.0090909091	0.0090909091	0.0047619048	0.0090909091	4.6219698e-05	2.3496438e-07	0.0090909091	0.35109091	0.059333453	0.045522379	0.36209091	0.036209091
holdsAt(location(p2,seat(14)),T)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0090909091	0.0090909091	0.0090909091	0.0090909091	0.0090909091	0.0090909091	0.0090909091	4.987365e-05	0.0090909091	0.0090909091	5.2091882e-05	0.0090909091	0.0047619048	0.0090909091	0.0090909091	0.0047619048	0.0090909091	4.6219698e-05	2.3496438e-07	0.0090909091	0.0090909091	7.2175318e-05	0.0012333346	0.0090909091	0.00090909091
holdsAt(location(p2,seat(15)),T)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0090909091	0.0090909091	0.0090909091	0.0090909091	0.0090909091	0.0090909091	0.0090909091	4.987365e-05	0.0090909091	0.0090909091	5.2091882e-05	0.0090909091	0.0047619048	0.0090909091	0.0090909091	0.0047619048	0.0090909091	4.6219698e-05	2.3496438e-07	0.0090909091	0.0090909091	7.2175318e-05	0.0012333346	0.0090909091	0.00090909091
holdsAt(location(p2,seat(16)),T)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0090909091	0.0090909091	0.0090909091	0.0090909091	0.0090909091	0.0090909091	0.0090909091	4.987365e-05	0.0090909091	0.0090909091	5.2091882e-05	0.0090909091	0.0047619048	0.0090909091	0.0090909091	0.0047619048	0.0090909091	4.6219698e-05	2.3496438e-07	0.0090909091	0.0090909091	7.2175318e-05	0.0012333346	0.0090909091	0.00090909091
holdsAt(location(p2,seat(17)),T)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0090909091	0.0090909091	0.0090909091	0.12509091	0.0090909091	0.0090909091	0.0090909091	4.987365e-05	0.0090909091	0.0090909091	5.2091882e-05	0.0090909091	0.0047619048	0.0090909091	0.0090909091	0.0047619048	0.0090909091	4.6219698e-05	2.3496438e-07	0.0090909091	0.0090909091	7.2175318e-05	0.0012333346	0.0090909091	0.00090909091
holdsAt(location(p2,seat(18)),T)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0090909091	0.0090909091	0.0090909091	0.69309091	0.0090909091	0.0090909091	0.0090909091	4.987365e-05	0.0090909091	0.0090909091	5.2091882e-05	0.0090909091	0.0047619048	0.0090909091	0.0090909091	0.0047619048	0.0090909091	4.6219698e-05	2.3496438e-07	0.0090909091	0.0090909091	7.2175318e-05	0.0012333346	0.0090909091	0.00090909091
holdsAt(location(p2,seat(19)),T)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0090909091	0.0090909091	0.0090909091	0.0090909091	0.0090909091	0.0090909091	0.0090909091	4.987365e-05	0.0090909091	0.0090909091	5.2091882e-05	0.0090909091	0.0047619048	0.0090909091	0.0090909091	0.0047619048	0.0090909091	4.6219698e-05	2.3496438e-07	0.0090909091	0.0090909091	7.2175318e-05	0.0012333346	0.0090909091	0.00090909091
holdsAt(location(p2,seat(2)),T)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0090909091	0.0090909091	0.0090909091	0.0090909091	0.0090909091	0.0090909091	0.0090909091	4.987365e-05	0.0090909091	0.0090909091	5.2091882e-05	0.0090909091	0.0047619048	0.0090909091	0.0090909091	0.0047619048	0.0090909091	4.6219698e-05	2.3496438e-07	0.0090909091	0.0090909091	7.2175318e-05	0.0012333346	0.0090909091	0.00090909091
holdsAt(location(p2,seat(20)),T)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0090909091	0.0090909091	0.0090909091	0.0090909091	0.0090909091	0.0090909091	0.0090909091	4.987365e-05	0.0090909091	0.0090909091	5.2091882e-05	0.0090909091	0.0047619048	0.0090909091	0.0090909091	0.0047619048	0.0090909091	4.6219698e-05	2.3496438e-07	0.0090909091	0.0090909091	7.2175318e-05	0.0012333346	0.0090909091	0.00090909091
holdsAt(location(p2,seat(3)),T)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0090909091	0.0090909091	0.20909091	0.0090909091	0.0090909091	0.0090909091	0.0090909091	4.987365e-05	0.0090909091	0.0090909091	5.2091882e-05	0.0090909091	0.0047619048	0.0090909091	0.0090909091	0.0047619048	0.0090909091	4.6219698e-05	2.3496438e-07	0.0090909091	0.0090909091	7.2175318e-05	0.022385022	0.0090909091	0.00090909091
holdsAt(location(p2,seat(4)),T)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0090909091	0.0090909091	0.0090909091	0.0090909091	0.0090909091	0.0090909091	0.0090909091	4.987365e-05	0.0090909091	0.0090909091	5.2091882e-05	0.0090909091	0.0047619048	0.0090909091	0.0090909091	0.0047619048	0.0090909091	4.6219698e-05	2.3496438e-07	0.0090909091	0.0090909091	7.2175318e-05	0.0012333346	0.0090909091	0.00090909091
holdsAt(location(p2,seat(5)),T)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0090909091	0.0090909091	0.0090909091	0.0090909091	0.0090909091	0.0090909091	0.0090909091	4.987365e-05	0.0090909091	0.0090909091	5.2091882e-05	0.0090909091	0.0047619048	0.0090909091	0.0090909091	0.0047619048	0.0090909091	4.6219698e-05	2.3496438e-07	0.0090909091	0.0090909091	7.2175318e-05	0.0012333346	0.0090909091	0.00090909091
holdsAt(location(p2,seat(6)),T)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.16409091	0.16409091	0.0090909091	0.0090909091	0.0090909091	0.0090909091	0.0090909091	4.987365e-05	0.0090909091	0.0090909091	5.2091882e-05	0.0090909091	0.0047619048	0.0090909091	0.0090909091	0.0047619048	0.0090909091	4.6219698e-05	2.3496438e-07	0.0090909091	0.0090909091	7.2175318e-05	0.0012333346	0.0090909091	0.00090909091
holdsAt(location(p2,seat(7)),T)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0090909091	0.0090909091	0.0090909091	0.0090909091	0.0090909091	0.0090909091	0.0090909091	4.987365e-05	0.0090909091	0.0090909091	5.2091882e-05	0.0090909091	0.0047619048	0.0090909091	0.0090909091	0.0047619048	0.0090909091	4.6219698e-05	2.3496438e-07	0.0090909091	0.0090909091	7.2175318e-05	0.0012333346	0.0090909091	0.00090909091
holdsAt(location(p2,seat(8)),T)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0090909091	0.0090909091	0.0090909091	0.0090909091	0.0090909091	0.0090909091	0.0090909091	4.987365e-05	0.0090909091	0.0090909091	5.2091882e-05	0.0090909091	0.0047619048	0.0090909091	0.0090909091	0.0047619048	0.0090909091	4.6219698e-05	2.3496438e-07	0.0090909091	0.0090909091	7.2175318e-05	0.0012333346	0.0090909091	0.00090909091
holdsAt(location(p2,seat(9)),T)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0090909091	0.0090909091	0.0090909091	0.0090909091	0.22409091	0.22409091	0.51209091	0.98205624	0.51209091	0.53909091	0.97522803	0.53909091	0.9047619	0.56309091	0.56609091	0.9047619	0.67309091	0.98403612	0.98545174	0.59109091	0.46709091	0.93922304	0.82744416	0.45609091	0.045609091
holdsAt(orientation(p1,sitting),T)	0	0	0	0	0	0.87523621	0.079792504	0.61281998	0.38496144	0.38496144	0.94761905	0.052380952	0.94761905	0.94761905	0.091235673	0.091235673	0.091235673	0.77585072	0.093780366	0.093780366	0.093780366	0.093780366	0.093780366	0.093780366	0.093780366	0.74913354	0.74913354	0.74913354	0.74913354	0.74913354	0.74913354	0.74913354	0.74913354	0.33771964	0.33771964	0.33771964	0.33771964	0.33771964	0.33771964	0.33771964	0.33771964	0.33771964	0.33771964	0.033771964	0.033771964	0.033771964	0.033771964	0.033771964	0.033771964	0.033771964	0.033771964	0.033771964	0.033771964	0.033771964	0.033771964	0.033771964	0.033771964	0.033771964	0.033771964	0.033771964	0.033771964	0.033771964	0.033771964
holdsAt(orientation(p1,standing),T)	0	1	1	1	1	0.12476379	0.9202075	0.38718002	0.61503856	0.61503856	0.052380952	0.94761905	0.052380952	0.052380952	0.90876433	0.90876433	0.90876433	0.22414928	0.90621963	0.90621963	0.90621963	0.90621963	0.90621963	0.90621963	0.90621963	0.25086646	0.25086646	0.25086646	0.25086646	0.25086646	0.25086646	0.25086646	0.25086646	0.66228036	0.66228036	0.66228036	0.66228036	0.66228036	0.66228036	0.66228036	0.66228036	0.66228036	0.66228036	0.066228036	0.066228036	0.066228036	0.066228036	0.066228036	0.066228036	0.066228036	0.066228036	0.066228036	0.066228036	0.066228036	0.066228036	0.066228036	0.066228036	0.066228036	0.066228036	0.066228036	0.066228036	0.066228036	0.066228036
holdsAt(orientation(p2,sitting),T)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.93999178	0.93999178	0.93999178	0.065959524	0.065959524	0.94761905	0.94761905	0.94761905	0.052380952	0.052380952	0.93909028	0.060968078	0.060968078	0.060968078	0.92125672	0.15839099	0.15839099	0.015839099
holdsAt(orientation(p2,standing),T)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.060008217	0.060008217	0.060008217	0.93404048	0.93404048	0.052380952	0.052380952	0.052380952	0.94761905	0.94761905	0.06090972	0.93903192	0.93903192	0.93903192	0.078743283	0.84160901	0.84160901	0.084160901
